ID_Transacao,Data_Processamento,Valor_Recebido
TRX-000244,2026-06-13,9525.36
TRX-000245,2026-06-12,3159.59
TRX-000246,2026-06-13,846.45
TRX-000247,2026-06-10,8423.62
TRX-000248,2026-06-08,8080.91
TRX-000249,2026-06-10,4260.16
TRX-000250,2026-06-08,4697.59
TRX-000251,2026-06-05,9672.59
TRX-000253,2026-05-21,6950.88
TRX-000254,2026-05-21,5117.81
TRX-000255,2026-05-19,5677.71
TRX-000256,2026-06-01,12343.34
TRX-000257,2026-05-25,12908.04
TRX-000258,2026-06-08,5200.23
TRX-000259,2026-06-15,5280.33
TRX-000260,2026-06-01,4843.43
TRX-000261,2026-06-07,14395.07
TRX-000262,2026-06-10,4793.1
TRX-000263,2026-05-30,9867.43
TRX-000264,2026-06-17,2321.67
TRX-000265,2026-06-10,8563.16
TRX-000266,2026-06-16,6632.86
TRX-000267,2026-06-04,7788.06
TRX-000268,2026-06-07,7284.25
TRX-000269,2026-05-30,3287.26
TRX-000270,2026-05-19,12988.56
TRX-000271,2026-06-09,9820.29
TRX-000272,2026-05-20,14331.6
TRX-000273,2026-06-03,3576.63
TRX-000274,2026-05-26,9612.49
TRX-000275,2026-05-29,8809.71
TRX-000276,2026-06-11,13661.15
TRX-000277,2026-06-10,14449.21
TRX-000278,2026-05-25,8025.24
TRX-000280,2026-06-11,4997.23
TRX-000282,2026-06-10,13110.3
TRX-000283,2026-06-12,5199.92
TRX-000284,2026-05-23,2567.91
TRX-000285,2026-05-23,2656.85
TRX-000286,2026-06-01,3677.91
TRX-000287,2026-06-17,13673.57
TRX-000288,2026-05-26,14272.67
TRX-000289,2026-06-17,4119.39
TRX-000290,2026-06-16,4680.38
TRX-000291,2026-06-16,8137.71
TRX-000292,2026-06-16,1329.39
TRX-000293,2026-06-12,11011.19
TRX-000294,2026-05-23,2277.85
TRX-000295,2026-06-07,11379.82
TRX-000296,2026-05-24,9443.83
TRX-000297,2026-05-22,4770.11
TRX-000298,2026-05-21,5724.08
TRX-000299,2026-06-09,11124.11
TRX-000300,2026-06-12,5471.46
TRX-000301,2026-06-02,10208.15
TRX-000302,2026-06-11,2695.15
TRX-000303,2026-06-09,1985.31
TRX-000304,2026-06-11,1738.16
TRX-000305,2026-05-30,13069.15
TRX-000306,2026-05-29,1660.49
TRX-000307,2026-06-11,14396.29
TRX-000308,2026-05-29,2031.08
TRX-000309,2026-05-31,12443.85
TRX-000310,2026-06-09,2158.9
TRX-000311,2026-06-11,6663.96
TRX-000312,2026-06-03,8805.99
TRX-000313,2026-05-24,5276.25
TRX-000314,2026-06-03,12122.29
TRX-000316,2026-05-31,4057.4
TRX-000317,2026-06-01,8032.51
TRX-000318,2026-06-11,13964.2
TRX-000319,2026-05-25,4875.09
TRX-000320,2026-06-09,9277.32
TRX-000321,2026-06-12,12376.1
TRX-000322,2026-05-20,8780.98
TRX-000323,2026-06-09,8204.7
TRX-000324,2026-06-07,4122.02
TRX-000325,2026-05-21,5410.39
TRX-000326,2026-06-01,8038.95
TRX-000327,2026-06-01,7065.31
TRX-000328,2026-06-13,5429.23
TRX-000329,2026-06-18,5253.03
TRX-000330,2026-06-01,8794.57
TRX-000331,2026-06-19,4614.09
TRX-000332,2026-05-23,1318.12
TRX-000333,2026-05-21,14368.66
TRX-000334,2026-05-28,13836.22
TRX-000335,2026-05-24,4161.02
TRX-000336,2026-05-26,12385.78
TRX-000337,2026-05-28,14765.15
TRX-000338,2026-06-08,10840.04
TRX-000339,2026-06-05,5446.65
TRX-000340,2026-06-07,2436.96
TRX-000341,2026-05-22,1741.97
TRX-000342,2026-06-14,1261.31
TRX-000343,2026-06-12,8908.5
TRX-000344,2026-06-11,11224.77
TRX-000345,2026-06-07,1953.35
TRX-000346,2026-05-26,12374.85
TRX-000347,2026-06-17,5453.92
TRX-000348,2026-06-18,11936.41
TRX-000349,2026-06-13,12692.83
TRX-000350,2026-05-27,1630.63
TRX-000351,2026-05-30,13896.06
TRX-000352,2026-06-09,13378.7
TRX-000353,2026-05-23,2437.36
TRX-000354,2026-06-14,6415.61
TRX-000355,2026-06-07,13593.85
TRX-000356,2026-05-22,2188.0
TRX-000357,2026-05-22,6793.42
TRX-000358,2026-05-25,5280.37
TRX-000359,2026-05-25,12808.72
TRX-000360,2026-06-14,5375.63
TRX-000361,2026-05-28,13044.37
TRX-000362,2026-06-11,8552.56
TRX-000364,2026-06-04,4734.44
TRX-000365,2026-05-21,1095.91
TRX-000366,2026-06-13,6332.39
TRX-000367,2026-06-02,3558.83
TRX-000368,2026-06-16,10414.27
TRX-000369,2026-05-29,11902.5
TRX-000370,2026-05-22,13730.04
TRX-000371,2026-06-12,10453.23
TRX-000372,2026-05-23,4222.53
TRX-000373,2026-06-03,9641.16
TRX-000374,2026-06-05,9903.19
TRX-000375,2026-05-24,6013.36
TRX-000376,2026-06-17,955.7
TRX-000377,2026-05-20,6950.94
TRX-000378,2026-05-29,4543.95
TRX-000379,2026-05-26,4968.41
TRX-000380,2026-05-24,7099.53
TRX-000381,2026-06-05,12000.36
TRX-000382,2026-05-26,7796.51
TRX-000383,2026-05-20,2190.77
TRX-000384,2026-05-27,2105.56
TRX-000385,2026-06-11,10573.02
TRX-000386,2026-05-30,9892.79
TRX-000387,2026-05-30,5248.18
TRX-000388,2026-05-25,12288.17
TRX-000390,2026-05-23,5754.14
TRX-000391,2026-05-20,9982.0
TRX-000392,2026-05-23,10551.65
TRX-000393,2026-05-26,3790.84
TRX-000394,2026-05-30,7183.74
TRX-000395,2026-06-01,8569.9
TRX-000396,2026-05-23,3137.51
TRX-000397,2026-05-20,14133.59
TRX-000398,2026-05-28,8781.56
TRX-000399,2026-05-25,9550.18
TRX-000400,2026-06-17,10215.5
TRX-000401,2026-06-17,10856.56
TRX-000403,2026-05-25,6741.83
TRX-000404,2026-06-11,2895.36
TRX-000405,2026-06-08,13855.05
TRX-000406,2026-06-11,7823.99
TRX-000407,2026-06-01,6181.66
TRX-000408,2026-06-05,5613.27
TRX-000409,2026-05-23,8645.28
TRX-000410,2026-06-17,11093.27
TRX-000412,2026-06-04,941.95
TRX-000413,2026-05-29,9283.08
TRX-000414,2026-06-04,14248.82
TRX-000415,2026-06-16,2263.73
TRX-000416,2026-06-14,13003.84
TRX-000417,2026-05-23,6849.03
TRX-000418,2026-05-22,8020.88
TRX-000419,2026-05-30,1785.56
TRX-000420,2026-05-29,2603.04
TRX-000421,2026-06-14,803.49
TRX-000422,2026-06-09,12122.51
TRX-000423,2026-06-08,2941.27
TRX-000424,2026-06-17,13553.6
TRX-000425,2026-06-05,14153.89
TRX-000426,2026-06-13,12812.41
TRX-000427,2026-05-19,13902.4
TRX-000428,2026-05-27,1708.82
TRX-000429,2026-06-05,5795.5
TRX-000430,2026-06-01,3256.95
TRX-000431,2026-06-12,4045.91
TRX-000432,2026-05-31,6472.7
TRX-000433,2026-06-12,2450.57
TRX-000434,2026-05-27,10385.35
TRX-000435,2026-06-10,11339.69
TRX-000436,2026-06-07,10912.56
TRX-000437,2026-05-21,2043.06
TRX-000438,2026-06-04,13095.5
TRX-000439,2026-06-19,10041.87
TRX-000440,2026-06-17,7965.41
TRX-000441,2026-06-08,14504.8
TRX-000442,2026-05-21,9978.17
TRX-000443,2026-06-04,13966.12
TRX-000445,2026-05-22,11444.42
TRX-000447,2026-05-31,5669.06
TRX-000448,2026-05-23,9179.17
TRX-000449,2026-05-23,883.15
TRX-000450,2026-05-30,5330.28
TRX-000451,2026-05-21,2800.83
TRX-000452,2026-05-24,9171.5
TRX-000453,2026-05-30,1068.28
TRX-000454,2026-06-03,5839.77
TRX-000455,2026-05-28,3193.25
TRX-000456,2026-06-06,11909.8
TRX-000457,2026-05-31,9155.71
TRX-000458,2026-05-22,594.76
TRX-000459,2026-06-10,12293.16
TRX-000460,2026-05-27,3178.31
TRX-000461,2026-06-10,4778.21
TRX-000462,2026-05-19,12898.71
TRX-000463,2026-06-12,4427.56
TRX-000464,2026-06-17,7127.87
TRX-000466,2026-05-21,9834.92
TRX-000467,2026-05-23,7938.77
TRX-000468,2026-06-17,8172.91
TRX-000469,2026-06-19,1715.07
TRX-000470,2026-06-06,2017.48
TRX-000471,2026-06-06,3879.81
TRX-000473,2026-06-06,9958.46
TRX-000474,2026-05-27,14919.9
TRX-000475,2026-05-21,9892.5
TRX-000476,2026-06-07,9223.86
TRX-000477,2026-06-08,14704.39
TRX-000478,2026-05-25,10796.16
TRX-000479,2026-06-13,9660.13
TRX-000480,2026-06-04,7341.84
TRX-000481,2026-06-17,14152.18
TRX-000482,2026-05-29,14570.59
TRX-000483,2026-05-27,3739.66
TRX-000484,2026-05-24,7934.51
TRX-000485,2026-05-18,6878.38
TRX-000486,2026-06-04,8840.12
TRX-000487,2026-06-11,14321.27
TRX-000488,2026-06-08,1681.8
TRX-000489,2026-06-07,14159.97
TRX-000490,2026-06-04,7451.47
TRX-000491,2026-06-06,777.73
TRX-000492,2026-06-14,6061.4
TRX-000493,2026-05-22,3853.16
TRX-000494,2026-05-24,14301.22
TRX-000495,2026-06-08,10789.85
TRX-000496,2026-06-16,5547.45
TRX-000497,2026-06-03,13300.36
TRX-000498,2026-06-08,2315.57
TRX-000499,2026-05-27,13328.94
TRX-000500,2026-06-05,2387.21
TRX-000501,2026-05-21,10331.77
TRX-000502,2026-06-14,10595.76
TRX-000503,2026-05-25,10846.6
TRX-000504,2026-06-15,3432.88
TRX-000505,2026-06-08,5516.34
TRX-000506,2026-05-24,14487.11
TRX-000507,2026-05-23,4913.18
TRX-000508,2026-06-04,9604.86
TRX-000509,2026-06-17,6381.29
TRX-000510,2026-06-13,5519.94
TRX-000512,2026-05-24,5853.5
TRX-000513,2026-06-13,4975.26
TRX-000514,2026-05-31,5421.9
TRX-000515,2026-06-12,5820.14
TRX-000516,2026-06-16,6916.42
TRX-000517,2026-06-14,5334.92
TRX-000518,2026-05-24,6877.98
TRX-000519,2026-06-13,12235.72
TRX-000520,2026-05-29,2705.22
TRX-000521,2026-06-12,5569.95
TRX-000522,2026-06-10,6170.47
TRX-000523,2026-05-24,2185.32
TRX-000524,2026-06-18,14946.92
TRX-000525,2026-06-01,746.17
TRX-000526,2026-05-25,1960.69
TRX-000527,2026-05-30,7332.32
TRX-000528,2026-06-11,5678.76
TRX-000529,2026-06-09,3194.02
TRX-000530,2026-06-08,6230.48
TRX-000531,2026-05-30,3998.36
TRX-000532,2026-06-16,14086.26
TRX-000533,2026-06-10,10145.57
TRX-000534,2026-05-24,14151.45
TRX-000535,2026-06-15,1998.43
TRX-000536,2026-05-30,3061.81
TRX-000537,2026-05-24,4704.13
TRX-000538,2026-06-11,9800.69
TRX-000539,2026-06-11,2263.3
TRX-000541,2026-06-02,13414.48
TRX-000542,2026-05-30,9173.36
TRX-000543,2026-05-24,4973.08
TRX-000544,2026-06-09,1512.55
TRX-000545,2026-06-09,11644.66
TRX-000546,2026-06-15,11005.25
TRX-000547,2026-06-10,539.98
TRX-000549,2026-06-11,12563.58
TRX-000550,2026-06-01,14921.3
TRX-000551,2026-05-25,8564.44
TRX-000552,2026-05-28,2592.09
TRX-000553,2026-06-02,12039.2
TRX-000554,2026-06-11,13886.66
TRX-000555,2026-06-14,10643.64
TRX-000556,2026-06-14,9131.53
TRX-000557,2026-06-10,13200.83
TRX-000558,2026-06-12,9638.87
TRX-000559,2026-05-31,1982.46
TRX-000560,2026-05-23,9893.0
TRX-000561,2026-05-27,3527.86
TRX-000562,2026-06-15,5126.0
TRX-000563,2026-06-18,11592.05
TRX-000564,2026-05-23,11734.1
TRX-000566,2026-05-30,14186.68
TRX-000567,2026-06-03,14870.07
TRX-000568,2026-06-17,7446.49
TRX-000569,2026-06-09,7290.11
TRX-000570,2026-06-01,12130.7
TRX-000571,2026-06-05,4610.0
TRX-000572,2026-06-05,4794.2
TRX-000573,2026-06-11,14966.98
TRX-000574,2026-05-31,9214.3
TRX-000575,2026-05-20,12949.92
TRX-000576,2026-05-19,13260.45
TRX-000577,2026-06-18,5961.84
TRX-000578,2026-06-14,3660.51
TRX-000579,2026-05-31,11471.95
TRX-000580,2026-06-17,1172.39
TRX-000581,2026-05-28,823.06
TRX-000582,2026-06-02,13906.91
TRX-000583,2026-05-28,8562.54
TRX-000584,2026-06-03,11435.64
TRX-000585,2026-05-21,5077.44
TRX-000586,2026-06-18,9291.98
TRX-000587,2026-05-26,13666.75
TRX-000588,2026-05-31,5791.76
TRX-000589,2026-06-09,9445.57
TRX-000590,2026-06-12,2069.47
TRX-000591,2026-06-14,10058.71
TRX-000592,2026-06-01,5628.63
TRX-000593,2026-06-02,12518.58
TRX-000594,2026-06-01,12768.03
TRX-000595,2026-05-25,7423.33
TRX-000596,2026-05-31,10187.63
TRX-000597,2026-05-20,6613.65
TRX-000598,2026-06-15,10240.65
TRX-000599,2026-05-20,7751.53
TRX-000600,2026-06-17,8971.13
TRX-000601,2026-05-21,6114.13
TRX-000602,2026-05-29,4175.67
TRX-000603,2026-05-25,10147.58
TRX-000604,2026-06-09,5751.19
TRX-000605,2026-05-31,11560.87
TRX-000606,2026-06-07,7115.39
TRX-000607,2026-06-18,12308.97
TRX-000609,2026-05-27,12181.45
TRX-000610,2026-05-26,9067.21
TRX-000611,2026-05-24,757.92
TRX-000612,2026-05-25,14346.4
TRX-000613,2026-06-17,13485.91
TRX-000614,2026-06-01,9223.99
TRX-000616,2026-06-16,11128.21
TRX-000617,2026-06-10,10450.3
TRX-000618,2026-06-01,13123.26
TRX-000619,2026-06-05,10372.8
TRX-000620,2026-05-27,13833.41
TRX-000621,2026-05-26,2388.26
TRX-000622,2026-06-17,8705.06
TRX-000623,2026-06-04,7952.12
TRX-000624,2026-05-21,8810.86
TRX-000625,2026-06-05,927.75
TRX-000626,2026-06-08,11801.67
TRX-000627,2026-06-12,8611.17
TRX-000628,2026-06-18,9745.03
TRX-000629,2026-05-24,3224.03
TRX-000630,2026-06-07,7323.71
TRX-000631,2026-06-07,5266.32
TRX-000632,2026-05-28,1602.85
TRX-000633,2026-05-19,8747.49
TRX-000634,2026-05-21,8642.74
TRX-000635,2026-06-03,9467.35
TRX-000637,2026-06-02,14409.55
TRX-000638,2026-05-27,10310.54
TRX-000639,2026-06-06,9592.59
TRX-000640,2026-06-07,8593.53
TRX-000641,2026-05-18,4167.36
TRX-000642,2026-05-29,2597.32
TRX-000644,2026-05-20,11615.17
TRX-000645,2026-06-13,14115.49
TRX-000646,2026-06-04,5312.53
TRX-000647,2026-05-21,14036.25
TRX-000648,2026-06-09,6001.85
TRX-000649,2026-06-18,14693.4
TRX-000650,2026-06-10,6991.85
TRX-000651,2026-05-25,5095.87
TRX-000652,2026-06-05,12102.01
TRX-000653,2026-06-12,6470.71
TRX-000654,2026-06-05,10379.07
TRX-000655,2026-06-02,4804.11
TRX-000656,2026-05-24,7715.05
TRX-000657,2026-06-17,774.17
TRX-000658,2026-06-04,9309.67
TRX-000659,2026-05-27,14420.96
TRX-000660,2026-05-25,11507.06
TRX-000661,2026-06-04,12177.08
TRX-000663,2026-06-04,12088.11
TRX-000664,2026-06-14,13830.48
TRX-000665,2026-06-12,13937.2
TRX-000666,2026-06-16,10275.5
TRX-000667,2026-06-03,3179.65
TRX-000668,2026-05-27,4631.89
TRX-000669,2026-06-15,10872.29
TRX-000670,2026-06-04,11012.42
TRX-000671,2026-05-27,11763.43
TRX-000672,2026-06-07,7904.88
TRX-000673,2026-06-08,13617.08
TRX-000674,2026-05-26,3818.38
TRX-000675,2026-06-06,4489.08
TRX-000676,2026-06-03,11986.78
TRX-000677,2026-05-24,2872.35
TRX-000678,2026-06-11,12342.93
TRX-000679,2026-06-04,11032.88
TRX-000680,2026-06-16,7117.45
TRX-000681,2026-05-23,12525.76
TRX-000682,2026-06-15,9942.14
TRX-000683,2026-05-27,3983.13
TRX-000684,2026-05-31,2856.86
TRX-000685,2026-05-27,8611.31
TRX-000686,2026-05-28,3122.85
TRX-000687,2026-05-27,7743.82
TRX-000688,2026-06-05,7477.49
TRX-000689,2026-05-20,13821.15
TRX-000690,2026-05-23,3852.1
TRX-000691,2026-06-12,13110.29
TRX-000692,2026-06-15,11311.58
TRX-000693,2026-06-10,1444.17
TRX-000694,2026-06-12,4699.76
TRX-000695,2026-05-23,11900.15
TRX-000696,2026-06-16,4443.18
TRX-000697,2026-06-05,9750.16
TRX-000698,2026-05-30,5425.01
TRX-000699,2026-06-17,6352.04
TRX-000700,2026-06-10,6888.4
TRX-000701,2026-06-13,4833.78
TRX-000702,2026-05-25,2973.26
TRX-000703,2026-05-28,10044.89
TRX-000704,2026-06-06,12860.74
TRX-000705,2026-06-09,2778.09
TRX-000706,2026-06-12,749.24
TRX-000707,2026-05-29,4589.25
TRX-000708,2026-05-31,10307.58
TRX-000709,2026-05-30,9023.51
TRX-000710,2026-05-25,688.54
TRX-000711,2026-05-24,6527.4
TRX-000712,2026-05-30,11501.42
TRX-000713,2026-06-03,2846.2
TRX-000714,2026-05-23,4309.61
TRX-000715,2026-05-30,10493.25
TRX-000716,2026-06-16,2300.45
TRX-000717,2026-05-28,11110.65
TRX-000718,2026-06-09,6066.62
TRX-000719,2026-06-06,10566.8
TRX-000720,2026-06-01,8782.82
TRX-000721,2026-05-26,9299.64
TRX-000722,2026-05-18,10507.51
TRX-000723,2026-06-01,2549.65
TRX-000724,2026-05-22,12888.45
TRX-000725,2026-06-10,9370.05
TRX-000726,2026-06-04,6837.38
TRX-000727,2026-05-23,12114.08
TRX-000728,2026-05-24,6971.38
TRX-000729,2026-06-01,7632.52
TRX-000730,2026-05-25,4768.06
TRX-000731,2026-06-14,8572.0
TRX-000732,2026-06-06,14128.09
TRX-000733,2026-05-20,10338.53
TRX-000735,2026-06-05,14804.47
TRX-000736,2026-05-23,9766.67
TRX-000737,2026-06-12,11226.79
TRX-000738,2026-05-29,3652.31
TRX-000739,2026-06-07,9823.06
TRX-000740,2026-06-09,12340.17
TRX-000741,2026-05-29,11816.14
TRX-000742,2026-06-06,11662.04
TRX-000743,2026-05-31,2273.42
TRX-000744,2026-06-12,11920.48
TRX-000745,2026-06-19,2376.13
TRX-000746,2026-05-21,9701.43
TRX-000747,2026-06-03,14245.71
TRX-000748,2026-06-16,10767.66
TRX-000749,2026-06-13,2655.05
TRX-000750,2026-06-06,3231.06
TRX-000751,2026-06-06,12476.48
TRX-000753,2026-06-12,13083.9
TRX-000754,2026-05-28,14497.53
TRX-000756,2026-05-31,14587.27
TRX-000757,2026-05-30,10180.86
TRX-000758,2026-05-27,12650.34
TRX-000759,2026-06-13,12244.7
TRX-000760,2026-05-28,8525.39
TRX-000761,2026-06-01,5300.23
TRX-000762,2026-05-20,11413.94
TRX-000763,2026-06-17,13535.31
TRX-000764,2026-05-20,10230.62
TRX-000765,2026-05-22,7812.88
TRX-000766,2026-05-22,7689.23
TRX-000767,2026-06-10,13191.77
TRX-000768,2026-06-08,10805.31
TRX-000769,2026-06-14,1755.45
TRX-000770,2026-06-07,14142.35
TRX-000771,2026-06-01,13796.71
TRX-000772,2026-06-11,3889.13
TRX-000773,2026-05-19,6688.4
TRX-000774,2026-05-23,4926.42
TRX-000775,2026-06-08,7325.01
TRX-000777,2026-06-03,13771.57
